Fecha de partida,ELO,ELO_oponente,Color,Resultado
2023-12-01,1661,1631,Blanco,Victoria
2023-12-01,1653,1667,Negro,Derrota
2023-12-01,1645,1660,Blanco,Derrota
2023-12-02,1645,1657,Negro,Empate
2023-12-02,1636,1625,Negro,Derrota
2023-12-04,1643,1603,Blanco,Victoria
2023-12-04,1635,1635,Blanco,Derrota
2023-12-04,1642,1589,Negro,Victoria
2023-12-05,1649,1590,Blanco,Victoria
2023-12-05,1656,1605,Negro,Victoria
2023-12-05,1649,1703,Blanco,Derrota
2023-12-06,1657,1652,Blanco,Victoria
2023-12-06,1665,1658,Negro,Victoria
2023-12-07,1657,1662,Blanco,Derrota
2023-12-07,1665,1639,Negro,Victoria
2023-12-07,1673,1654,Blanco,Victoria
2023-12-07,1665,1679,Blanco,Derrota
2023-12-07,1656,1651,Negro,Derrota
2023-12-07,1649,1701,Negro,Derrota
2023-12-07,1657,1637,Blanco,Victoria
2023-12-07,1656,1634,Blanco,Empate
2023-12-07,1664,1627,Negro,Victoria
2023-12-08,1657,1703,Negro,Derrota
2023-12-09,1649,1674,Negro,Derrota
2023-12-09,1641,1670,Blanco,Derrota
2023-12-10,1634,1697,Blanco,Derrota
2023-12-10,1642,1621,Negro,Victoria
2023-12-10,1650,1638,Blanco,Victoria
2023-12-10,1658,1633,Negro,Victoria
2023-12-10,1666,1665,Blanco,Victoria
2023-12-10,1673,1631,Negro,Victoria
2023-12-10,1665,1670,Blanco,Derrota
2023-12-11,1673,1637,Negro,Victoria
2023-12-11,1680,1624,Blanco,Victoria
2023-12-12,1672,1674,Negro,Derrota
2023-12-12,1663,1649,Negro,Derrota
2023-12-13,1671,1663,Negro,Victoria
2023-12-13,1679,1663,Blanco,Victoria
2023-12-13,1686,1631,Blanco,Victoria
2023-12-13,1696,1782,Blanco,Victoria
2023-12-13,1704,1683,Negro,Victoria
2023-12-13,1712,1675,Negro,Victoria
2023-12-13,1704,1723,Blanco,Derrota
2023-12-14,1695,1682,Negro,Derrota
2023-12-15,1688,1744,Blanco,Derrota
2023-12-15,1696,1686,Blanco,Victoria
2023-12-16,1691,1822,Negro,Derrota
2023-12-16,1683,1704,Blanco,Derrota
2023-12-16,1674,1668,Negro,Derrota
2023-12-17,1666,1702,Negro,Derrota
2023-12-17,1674,1669,Blanco,Victoria
2023-12-17,1666,1661,Blanco,Derrota
2023-12-18,1659,1715,Blanco,Derrota
2023-12-18,1652,1724,Negro,Derrota
2023-12-19,1644,1667,Negro,Derrota
2023-12-19,1637,1695,Negro,Derrota
2023-12-20,1646,1665,Blanco,Victoria
2023-12-20,1654,1643,Negro,Victoria
2023-12-20,1647,1684,Negro,Derrota
2023-12-20,1639,1648,Blanco,Derrota
2023-12-20,1647,1626,Blanco,Victoria
